Semua Laporan Iklan CPC - Shopee Indonesia
Username,official.aljazira
Nama Toko,Official Al-Jazira
ID Toko,1133835464
Waktu Laporan Dibuat,19/02/2026 08:38
Periode,01/01/2026 - 31/01/2026

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Kata Pencarian/Penempatan,Tipe Pencocokan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
1,MADU MIXED,Berjalan,Iklan Produk,-,-,GMV Max ROAS,-,-,-,10/10/2025 00:00:00,Tidak Terbatas,263890,8050,3.05%,806,727,10.01%,9.03%,3806.10,4219.69,938,834,32834857,28908260,3067716,10.70,9.42,9.34%,10.61%,-,-,-
2,Automatically select products Ad,Berjalan,,-,-,GMV Max Auto Bidding (Shop),Semua Penempatan,-,-,03/11/2025 00:00:00,Tidak Terbatas,90436,2072,2.29%,173,149,8.35%,7.19%,4220.39,4900.18,201,173,7446385,6443675,730128,10.20,8.83,9.81%,11.33%,-,-,-
3,"Al-Jazira Madu Lambung 1 KG Atasi Maag Kronis, Asam Lambung, Gerd, Anxiety Resep Sehat JSR Ampuh [5]",Berjalan,Iklan Produk,27426721026,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,24/12/2025 00:00:00,Tidak Terbatas,808092,14395,1.78%,1654,1544,11.49%,10.73%,4174.69,4472.11,1814,1694,74705067,70144784,6904937,10.82,10.16,9.24%,9.84%,-,-,-
4,Al-Jazira Gula Cair Singkong 1 KG Aman Untuk Diabetes Gluten Free Alternatif Pengganti Gula Pasir [13],Berjalan,Iklan Produk,23987664196,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,24/12/2025 00:00:00,Tidak Terbatas,395995,9611,2.43%,1039,962,10.81%,10.01%,3626.08,3916.32,1312,1227,37800171,34891219,3767496,10.03,9.26,9.97%,10.80%,-,-,-
5,Al-Jazira Sari Kurma 1 KG Free AMH Jahe Merah Penambah Nafsu Makan & Penggemuk Badan BPOM [18],Berjalan,Iklan Produk,25902692216,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,24/12/2025 00:00:00,Tidak Terbatas,275171,5669,2.06%,626,571,11.04%,10.07%,5352.85,5868.45,753,689,33020379,30899454,3350884,9.85,9.22,10.15%,10.84%,-,-,-
6,Al-Jazira Sahira Kurma Madu Mesir 1 KG Manis & Lembut Free AMH Jahe Merah Kurma Madinah BPOM [5],Berjalan,Iklan Produk,25334921746,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,24/12/2025 00:00:00,Tidak Terbatas,231949,9905,4.27%,602,583,6.08%,5.89%,5367.09,5542.00,842,819,33454396,32762135,3230987,10.35,10.14,9.66%,9.86%,-,-,-
7,Al-Jazira Sari Kurma 700 gr Penambah Energi & Imun Booster Alami [4],Berjalan,Iklan Produk,56400860087,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,10/12/2025 00:00:00,Tidak Terbatas,21825,513,2.35%,49,31,9.55%,6.04%,5700.93,9011.16,53,32,2163095,1326018,279346,7.74,4.75,12.91%,21.07%,-,-,-
8,Al-Jazira Kurma Ajwa Alzam 1000 gr Membantu Memenuhi Asupan Gizi Asli Kurma Nabi,Berjalan,Iklan Produk,26227121305,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,23/10/2025 00:00:00,Tidak Terbatas,4692,12,0.26%,1,0,8.33%,0.00%,1341.57,0.00,1,0,40900,0,1342,30.49,0.00,3.28%,0.00%,-,-,-
9,Al-Jazira Madu Diet 1 KG Detoksifikasi Alami & Aman Dari Lemak & Racun Penyebab Kanker [17],Berjalan,Iklan Produk,25541621589,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,12/11/2025 00:00:00,Tidak Terbatas,4365,102,2.34%,7,7,6.86%,6.86%,9183.27,9183.27,8,8,422075,422075,64283,6.57,6.57,15.23%,15.23%,-,-,-
10,Al-Jazira Madu Zuriat 1 KG Program Hamil Untuk Pria & Wanita [3],Berjalan,Iklan Produk,40622499843,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,21/01/2026 00:00:00,Tidak Terbatas,3057,90,2.94%,11,10,12.22%,11.11%,7088.80,7797.68,13,12,641652,632922,77977,8.23,8.12,12.15%,12.32%,-,-,-
11,Al-Jazira Tropical Food Madu Herbal Imun Booster & Multivitamin 250 gr Penambah Nafsu Makan [7],Berjalan,Iklan Produk,24194717083,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,23/10/2025 00:00:00,Tidak Terbatas,2413,13,0.54%,1,0,7.69%,0.00%,5280.74,0.00,1,0,23648,0,5281,4.48,0.00,22.33%,0.00%,-,-,-
12,Al-Jazira Sari Kurma Madu Angkak 700 gr Plus Herbal Obat Typus Demam Tinggi & Menjaga Stamina Tubuh [8],Berjalan,Iklan Produk,24153475530,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,21/01/2026 00:00:00,Tidak Terbatas,2298,44,1.91%,5,4,11.36%,9.09%,6684.04,8355.04,5,4,258763,207168,33420,7.74,6.20,12.92%,16.13%,-,-,-
13,Al-Jazira Oma Kids Vitamin Penambah Nafsu Makan 130 ml 100% BPOM Halal [3],Berjalan,Iklan Produk,42204132146,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,23/10/2025 00:00:00,Tidak Terbatas,1456,8,0.55%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,2237,0.00,0.00,0.00%,0.00%,-,-,-
