Semua Laporan Iklan CPC - Shopee Indonesia
Username,moondaeofficial
Nama Toko,Moon Dae Official Store
ID Toko,797105463
Waktu Laporan Dibuat,09/02/2026 14:08
Periode,01/11/2025 - 30/11/2025

Urutan,Nama Iklan,Status,Jenis Iklan,Kode Produk,Tampilan Iklan,Mode Bidding,Penempatan Iklan,Kata Pencarian/Penempatan,Tipe Pencocokan,Tanggal Mulai,Tanggal Selesai,Dilihat,Jumlah Klik,Persentase Klik,Konversi,Konversi Langsung,Tingkat konversi,Tingkat Konversi Langsung,Biaya per Konversi,Biaya per Konversi Langsung,Produk Terjual,Terjual Langsung,Omzet Penjualan,Penjualan Langsung (GMV Langsung),Biaya,Efektifitas Iklan,Efektivitas Langsung,Persentase Biaya Iklan terhadap Penjualan dari Iklan (ACOS),Persentase Biaya Iklan terhadap Penjualan dari Iklan Langsung (ACOS Langsung),Jumlah Produk Dilihat,Jumlah Klik Produk,Persentase Klik Produk
1,Automatically select products Ad,Berjalan,,-,-,GMV Max Auto Bidding (Shop),Semua Penempatan,-,-,08/09/2025 00:00:00,Tidak Terbatas,748580,29017,3.88%,261,240,0.90%,0.83%,15137.66,16462.21,263,242,38296173,35124919,3950930,9.69,8.89,10.32%,11.25%,-,-,-
2,MOON DAE Nami Bag Tas Selempang Wanita Kulit Premium Sling Bag Bucket Handbag For Women Tas Korea [9],Berjalan,Iklan Produk,29158854646,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,29/10/2025 00:00:00,Tidak Terbatas,9175,317,3.46%,3,2,0.95%,0.63%,21703.11,32554.66,4,2,381302,196158,65109,5.86,3.01,17.08%,33.19%,-,-,-
3,MOON DAE Bona Shoulder Bag Tas Bahu Wanita Kulit Premium Totebag Handbag For Women Tas Korea [11],Berjalan,Iklan Produk,17194952286,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,10/09/2025 00:00:00,Tidak Terbatas,7379,320,4.34%,1,1,0.31%,0.31%,27286.77,27286.77,1,1,110695,110695,27287,4.06,4.06,24.65%,24.65%,-,-,-
4,MOON DAE Kimmy Bag Tas Selempang Wanita Kulit Premium Moonlight Sling Bag For Women Tas Korea [8],Berjalan,Iklan Produk,19113477314,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,29/10/2025 00:00:00,Tidak Terbatas,4715,51,1.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,11032,0.00,0.00,0.00%,0.00%,-,-,-
5,MOON DAE Rachel Bag Tas Selempang Wanita Kulit Premium Sling Bag Handbag For Women Tas Korea [11],Dijeda,Iklan Produk,22926109229,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,01/10/2025 00:00:00,Tidak Terbatas,5362,159,2.97%,1,1,0.63%,0.63%,33514.60,33514.60,1,1,110300,110300,33515,3.29,3.29,30.38%,30.38%,-,-,-
6,MOON DAE Yonsei Bag Tas Ransel Wanita Kulit Premium Backpack Women Tas Korea [8],Berakhir,Iklan Produk,24259594610,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,15/10/2025 00:00:00,12/11/2025 09:20:53,495601,15009,3.03%,181,161,1.21%,1.07%,25698.70,28891.09,182,162,26433781,23930483,4651465,5.68,5.14,17.60%,19.44%,-,-,-
7,MOON DAE Seoul Shoulder Bag Tas Bahu Wanita Kulit Premium Sling Bag Totebag For Women Tas Korea [4],Berakhir,Iklan Produk,24683024740,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/10/2025 00:00:00,12/11/2025 09:21:03,305579,10462,3.42%,138,129,1.32%,1.23%,24201.19,25889.64,142,132,18426425,17077787,3339764,5.52,5.11,18.12%,19.56%,-,-,-
8,MOON DAE Namsan Bag Tas Ransel Wanita Kulit Premium Backpack Women Tas Korea [4],Berakhir,Iklan Produk,24931712580,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,03/09/2025 00:00:00,12/11/2025 09:21:30,206834,6158,2.98%,90,89,1.46%,1.45%,21509.74,21751.42,90,89,11624623,11480943,1935876,6.00,5.93,16.65%,16.86%,-,-,-
9,MOON DAE Honey Shoulder Bag Tas Bahu Wanita Denim Kulit Premium Handbag For Women Tas Korea,Berakhir,Iklan Produk,25234266766,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/08/2024 00:00:00,12/11/2025 09:21:13,148649,5380,3.62%,66,62,1.23%,1.15%,20203.58,21507.04,67,63,8973367,8508228,1333436,6.73,6.38,14.86%,15.67%,-,-,-
10,MOON DAE Inha Bag Tas Ransel Wanita Kulit Premium Backpack For Women Tas Korea [9],Berakhir,Iklan Produk,24722076044,-,GMV Max ROAS,Semua Penempatan,Pilih Otomatis,-,08/10/2025 00:00:00,07/01/2026 10:32:53,136841,4540,3.32%,41,36,0.90%,0.79%,25075.89,28558.65,41,36,5894474,5183892,1028111,5.73,5.04,17.44%,19.83%,-,-,-
