All CPC Ads Report - Shopee Indonesia
User Name,salt.saltier
Shop Name,Salt Offical Store
Shop ID,885153599
Report Creation Time,19/02/2026 15:13
Date Period,01/01/2026 - 31/01/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR
1,Grup Iklan 07/11/2025 - 1,Ongoing,Product Ad,-,-,GMV Max Custom ROAS,-,07/11/2025 00:00:00,Unlimited,128265,4262,3.32%,54,38,1.27%,0.89%,47889.46,68053.45,54,38,20967098,16254400,2586031,8.11,6.29,12.33%,15.91%,-,-,-
2,Shop Ads,Ongoing,Shop Ad,-,Default,Auto Bidding,-,01/07/2025 00:00:00,Unlimited,22055,2644,11.99%,12,8,0.45%,0.30%,82704.24,124056.35,14,10,3539749,3122449,992451,3.57,3.15,28.04%,31.78%,90100,214,0.24%
3,SALT Cameron Tas Ransel Laptop Pria Waterproof Backpack Anti Air Traveling Kantor Kuliah Premium [2],Ongoing,Product Ad,17792978359,-,GMV Max Custom ROAS,All,12/06/2025 00:00:00,Unlimited,249467,7090,2.84%,106,90,1.50%,1.27%,45561.85,53661.74,110,91,42609986,39918286,4829556,8.82,8.27,11.33%,12.10%,-,-,-
4,SALT Castor Backpack Pria Anti Air Tas Ransel Terbaru Cowok Kerja Kantor Sekolah Modern Garansi,Ongoing,Product Ad,29122736835,-,GMV Max Custom ROAS,All,13/02/2025 00:00:00,Unlimited,223702,6819,3.05%,99,75,1.45%,1.10%,49658.05,65548.62,105,75,41932596,37785178,4916147,8.53,7.69,11.72%,13.01%,-,-,-
5,SALT Archie Tas Ransel Laptop Pria Waterproof Backpack Anti Air Traveling Kantor Kuliah Premium [4],Ongoing,Product Ad,21874211370,-,GMV Max Custom ROAS,All,06/10/2025 00:00:00,Unlimited,116148,3963,3.41%,55,37,1.39%,0.93%,58060.47,86306.10,55,37,18399498,14332500,3193326,5.76,4.49,17.36%,22.28%,-,-,-
6,Salt Hydro Lite Rain Cover Coat Tas Waterproof Premium Pelindung Ransel Anti Air Outdoor Sarung Debu,Ongoing,Product Ad,28193246979,-,GMV Max Custom ROAS,All,07/11/2025 00:00:00,Unlimited,112896,4961,4.39%,335,325,6.75%,6.55%,4229.60,4359.75,398,383,12127473,12067473,1416917,8.56,8.52,11.68%,11.74%,-,-,-
7,SALT Valoris Handbag Pria Anti Air Garansi 5 Tahun Box Premium Clutch Pouch Dompet Hadiah Valentine [5],Ongoing,Product Ad,28272877745,-,GMV Max Custom ROAS,All,18/07/2025 00:00:00,Unlimited,102908,3922,3.81%,99,83,2.52%,2.12%,31927.94,38082.72,111,85,29753515,28402015,3160866,9.41,8.99,10.62%,11.13%,-,-,-
8,SALT Kensington Tas Ransel Backpack Waterproof Anti Air Pria Cowok Terlaris Model Terbaru Garansi [2],Ongoing,Product Ad,27172864587,-,GMV Max Custom ROAS,All,22/04/2025 00:00:00,Unlimited,98475,3231,3.28%,57,40,1.76%,1.24%,41555.89,59217.14,63,40,21057348,15397750,2368685,8.89,6.50,11.25%,15.38%,-,-,-
9,SALT Arlette Tas Ransel Garansi 5 Tahun Multifungsi Untuk Pria Anak Waterproof Sekolah Laris [2],Ongoing,Product Ad,27472880190,-,GMV Max Custom ROAS,All,04/06/2025 00:00:00,Unlimited,83811,2635,3.14%,44,35,1.67%,1.33%,37261.59,46843.14,44,35,11877500,10270000,1639510,7.24,6.26,13.80%,15.96%,-,-,-
10,SALT Cobalt Black Handbag Anti Air Garansi 5 Tahun Pouch Clutch Dompet Pria Organiser Waterproof [7],Ongoing,Product Ad,27372829644,-,GMV Max Custom ROAS,All,06/10/2025 00:00:00,Unlimited,78982,2856,3.62%,49,45,1.72%,1.58%,23820.78,25938.19,50,46,7942600,7720000,1167218,6.80,6.61,14.70%,15.12%,-,-,-
