All CPC Ads Report - Shopee Indonesia
User Name,cemilanklinikhot
Shop Name,Cemilanklinikhot
Shop ID,31952193
Report Creation Time,11/02/2026 09:31
Date Period,01/01/2026 - 31/01/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR
1,seblak campur pedas seblak kerupuk campur mix pedas daun jeruk basreng gurih mix bumbu melimpah,Ended,Product Ad,42618553391,-,GMV Max Custom ROAS,All,25/09/2025 00:00:00,Unlimited,33872,1081,3.19%,118,65,10.92%,6.01%,5291.16,9605.50,157,74,5737729,2855725,624357,9.19,4.57,10.88%,21.86%,-,-,-
2,BASRENG DAUN JERUK 1KG / Basreng pedas daun jeruk isi 1kg [7],Ongoing,Product Ad,4891887950,-,GMV Max Custom ROAS,All,12/07/2025 00:00:00,Unlimited,3201316,68524,2.14%,6036,5354,8.81%,7.81%,3804.06,4288.62,6978,6163,244222322,219820095,22961287,10.64,9.57,9.40%,10.45%,-,-,-
3,Basreng Daun Jeruk 1kg / Basreng Stik Pedas 1Kg [5],Ongoing,Product Ad,22144820487,-,GMV Max Custom ROAS,All,06/06/2024 00:00:00,Unlimited,3110639,82115,2.64%,9476,8605,11.54%,10.48%,3380.76,3722.96,11346,10231,381975004,348817259,32036039,11.92,10.89,8.39%,9.18%,-,-,-
4,BASRENG PEDAS DAUN JERUK 1KG [6],Ongoing,Product Ad,25355246806,-,GMV Max Custom ROAS,All,12/07/2025 00:00:00,Unlimited,2114421,50210,2.37%,5274,4741,10.50%,9.44%,3576.24,3978.29,6234,5562,192981053,174792864,18861091,10.23,9.27,9.77%,10.79%,-,-,-
5,Keripik Usus Crispy Pedas Daun Jeruk 1Kg [4],Ongoing,Product Ad,19438270569,-,GMV Max Custom ROAS,All,08/07/2025 00:00:00,Unlimited,1991307,46573,2.34%,5423,4624,11.64%,9.93%,4456.64,5226.72,6645,5685,325083825,293932023,24168370,13.45,12.16,7.43%,8.22%,-,-,-
6,Usus Krispi / kripik usus 500 Gram / 500Gram usus Crispy bumbu Pedas daun jeruk [3],Ongoing,Product Ad,20079728127,-,GMV Max Custom ROAS,All,12/07/2025 00:00:00,Unlimited,758714,28088,3.70%,2060,1837,7.33%,6.54%,2443.85,2740.52,2315,2069,76593197,69044531,5034331,15.21,13.71,6.57%,7.29%,-,-,-
7,Keripik Basreng Bumbu Pedas Daun Jeruk Koin pipih Keriuk isi 1KG [4],Ongoing,Product Ad,26555883598,-,GMV Max Custom ROAS,All,13/07/2025 00:00:00,Unlimited,522095,18182,3.48%,1500,1211,8.25%,6.66%,3759.96,4657.26,1677,1333,54857025,43964715,5639940,9.73,7.80,10.28%,12.83%,-,-,-
8,Usus Krispi / kripik usus 1 KG / 1KG usus Crispy bumbu Pedas daun jeruk [3],Ongoing,Product Ad,21390634180,-,GMV Max Custom ROAS,All,13/07/2025 00:00:00,Unlimited,375308,11136,2.97%,1312,1128,11.78%,10.13%,4623.73,5377.95,1517,1304,74632294,67105207,6066328,12.30,11.06,8.13%,9.04%,-,-,-
9,Keripik Usus Ayam Krispi Termurah Daun Jeruk Gurih Renyah 1kg [3],Ongoing,Product Ad,25184606228,-,GMV Max Custom ROAS,All,13/08/2025 00:00:00,Unlimited,250949,10364,4.13%,888,621,8.57%,5.99%,4469.36,6390.97,1027,717,48422863,36248008,3968792,12.20,9.13,8.20%,10.95%,-,-,-
10,Basreng pedas daun jeruk isi 100gr [4],Ongoing,Product Ad,23442254380,-,GMV Max Custom ROAS,All,15/07/2025 00:00:00,Unlimited,235807,7133,3.02%,470,434,6.59%,6.08%,1069.44,1158.15,801,756,5510837,4554598,502639,10.96,9.06,9.12%,11.04%,-,-,-
